Positve,Neutral ,Negative 
I am grateful for how far I've come,It’s okay to just be — I don’t always need to feel something strong.,"It’s okay to not feel okay, this will pass."
My energy attracts good things,"I’m present in this moment, and that’s enough.","My feelings are valid, but they don’t define me."
I deserve the peacce i'm feeling right now,My calm is my power.,I’ve survived tough moments before; I can do it again.
I am confident in who I am and what I'm becoming,I trust that clarity will come with time.,I am patient with myself while I heal.
I create oppertunities by believing in myself,I can move at my own pace without pressure.,I’m allowed to rest and recharge when things get heavy.
I am surrounded by love and support,"I am centered, balanced, and aware.","Even in pain, I’m learning and growing."
I trust my ability to make good choices,My worth doesn’t depend on how productive or emotional I feel.,I’m not alone in how I feel.
Every day brings new chances to grow,I’m learning to be comfortable in stillness.,"I can take small steps forward, even on hard days."
"I am proud of my progress, even the small steps",I release the need to control everything.,I forgive myself for being human.
"I radiate calm, joy, and strength ",I’m open to whatever the day brings.,"I will find peace again, one breath at a time."
